2025-03-20 15:16:04 - CPU: 13.3% | Memory: 86.3% | Disk: 26.2%
2025-03-20 15:17:06 - CPU: 3.1% | Memory: 80.1% | Disk: 26.2%
2025-03-20 15:17:12 - CPU: 2.6% | Memory: 80.0% | Disk: 26.2%
2025-03-20 15:20:28 - CPU: 1.4% | Memory: 80.4% | Disk: 26.2%
2025-03-20 15:20:51 - CPU: 2.5% | Memory: 84.0% | Disk: 26.2%
2025-03-20 15:20:56 - CPU: 2.3% | Memory: 83.9% | Disk: 26.2%
2025-03-20 15:21:09 - CPU: 3.1% | Memory: 82.6% | Disk: 26.2%
2025-03-21 14:53:00 - CPU: 0.2% | Memory: 9.9% | Disk: 0.3%
2025-03-21 14:53:49 - CPU: 0.4% | Memory: 10.0% | Disk: 0.3%
2025-03-21 14:53:53 - CPU: 0.5% | Memory: 10.0% | Disk: 0.3%
2025-03-21 15:32:51 - CPU: 0.5% | Memory: 10.1% | Disk: 0.3%
2025-03-21 16:04:01 - CPU: 11.2% | Memory: 82.2% | Disk: 26.1%
2025-03-21 16:04:34 - CPU: 6.8% | Memory: 83.9% | Disk: 26.1%
2025-03-21 16:05:54 - CPU: 0.5% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:12:04 - CPU: 0.4% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:19:55 - CPU: 7.6% | Memory: 83.4% | Disk: 26.1%
2025-03-21 16:30:08 - CPU: 0.4% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:35:02 - CPU: 0.5% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:36:01 - CPU: 0.9% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:37:01 - CPU: 0.3% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:38:01 - CPU: 0.7% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:39:01 - CPU: 0.4% | Memory: 10.2% | Disk: 0.3%
2025-03-21 16:40:01 - CPU: 0.4% | Memory: 10.2% | Disk: 0.3%
